"","204562_at","227846_at","211596_s_at","225912_at","224734_at","220359_s_at","210517_s_at","233180_at","1568611_at","243915_at","207996_s_at","203435_s_at","206255_at","206591_at","209574_s_at","241679_at","227530_at","1556599_s_at","227529_s_at","212382_at","228284_at","211919_s_at","202733_at","1566363_at","209201_x_at","239328_at","219144_at","220588_at","1552652_at","211987_at","204114_at","44790_s_at","219471_at","202908_at","1556383_at","221234_s_at","203434_s_at","220068_at","236099_at","226632_at","231935_at","233359_at","226394_at","242735_x_at","206413_s_at","223608_at","210450_at","1559716_at","1556598_at","1569482_at","target"
"GSM483371",35.617443,42.20056,17.471674,278.377,1436.0087,10.510575,27.549128,11.533224,17.925606,12.688936,121.774124,36.808353,15.120567,16.713528,117.38085,25.48449,60.868656,9.000532,6.8486147,360.0414,37.075806,405.69434,24.02338,365.28006,406.93817,219.25008,32.629807,27.5159,148.23267,2372.7114,16.247524,11.888629,32.153744,29.062458,25.570013,15.622196,8.82237,35.087666,28.642565,14.5845175,17.76713,86.551414,144.65622,194.38156,36.627125,54.947342,8.334251,48.01804,7.363159,22.699135,"MDS"
"GSM483372",39.61375,46.950726,40.458843,1825.3721,1397.2281,10.966396,46.444378,9.948207,20.937935,15.6132,459.76233,31.569557,12.428581,17.133863,344.93307,20.196386,44.156967,45.466034,8.008148,379.48428,18.968632,179.30629,24.404562,244.19305,180.97372,73.40324,34.48367,22.906149,234.16547,2512.3115,10.952769,97.09888,126.52318,22.940826,47.70599,11.384624,8.031261,31.724588,55.883606,16.623165,112.79819,48.203484,213.47499,148.16872,30.57016,55.980286,9.524581,56.598778,8.067218,15.3444395,"MDS"
"GSM483373",35.181343,42.550125,37.622036,1582.7559,1607.5787,8.978836,32.072186,8.806175,22.841871,18.503628,555.96,36.68393,11.883491,17.327518,323.05527,21.314644,39.391777,7.761625,6.91306,418.2185,32.962975,396.0059,31.40506,224.61433,383.30338,417.01456,29.11904,27.627151,94.258545,2023.3903,18.775902,37.076424,63.051323,23.211815,26.515564,37.30626,9.6313715,23.554655,21.036985,14.805786,15.575281,95.39269,188.89375,211.93495,27.700876,47.491608,10.130837,30.705896,7.1382895,30.046099,"MDS"
"GSM483374",38.616196,36.899963,48.300797,826.5941,1285.2023,9.397123,76.64035,11.798811,17.236628,27.576439,149.7678,46.886494,13.286527,13.650624,159.47878,23.445013,63.30169,8.921124,9.02163,561.4143,42.77448,415.3955,30.81116,838.2893,414.15543,295.19086,37.408527,32.10976,106.993965,2169.6199,20.95869,26.114887,38.621765,40.80428,29.287367,36.310528,8.732417,34.228737,23.437843,14.625554,18.475323,81.439384,177.61543,202.65439,27.16723,48.0682,10.906906,31.041784,7.119286,20.58791,"MDS"
"GSM483375",34.931286,43.396873,44.83816,403.90094,996.9563,10.042548,15.416191,10.955734,18.89634,30.022297,106.64384,41.601334,15.36657,13.936576,68.359795,20.606457,36.79113,9.443278,6.4613123,758.6238,79.09743,260.0686,26.63235,1756.2244,256.94437,68.985695,29.828247,41.69885,106.78978,2339.8633,16.395683,37.5389,72.84476,28.115067,28.001865,84.7252,7.231465,37.36679,16.155594,16.085917,18.148132,89.42921,113.019844,204.7753,30.046099,62.39379,8.215022,35.073757,6.9612904,20.479921,"MDS"
"GSM483376",34.389416,38.15162,123.639305,2451.6062,1759.8978,8.770088,36.402855,14.326238,15.340021,65.345245,125.54251,174.76573,13.007114,16.70661,142.74074,21.740376,50.24056,6.912814,8.404198,750.87537,165.25702,437.2134,28.264345,2450.3674,424.21182,299.65817,31.734869,25.115398,190.78793,2061.1318,19.541183,199.4349,150.31921,29.594936,23.428564,37.115906,30.60321,24.116175,37.287453,16.760258,17.005043,142.84369,315.27225,222.15994,30.951338,237.0254,8.854211,36.628452,7.0493603,49.47367,"MDS"
"GSM483377",29.568306,44.236565,11.61076,2137.5022,1024.1846,11.911556,25.114933,9.864701,19.35378,15.833529,138.36668,29.12326,14.40101,15.659387,116.27816,24.157896,30.78345,7.7557535,9.176336,713.1744,29.592806,359.7301,20.259771,8752.187,332.40515,1634.2622,23.265387,23.298952,125.35265,2058.8303,15.848077,12.576078,34.007523,31.128008,28.064476,17.88561,7.3716545,20.404066,17.330017,16.459892,18.18348,94.15675,169.37341,247.5855,27.545647,49.68077,9.455527,33.570534,7.647828,19.521833,"MDS"
"GSM483378",29.490643,39.673733,307.41043,476.04303,1189.5057,10.51304,19.714407,9.453483,16.863213,18.925636,62.634827,37.37488,13.193041,14.93004,68.055145,20.575308,41.746964,9.14334,7.0022864,501.80408,26.104229,130.08647,15.226056,145.23575,92.62603,405.57748,37.532703,26.164495,207.40332,2358.0554,19.78342,9.925301,24.647541,25.001652,28.607508,9.216751,7.2241745,20.900265,14.014869,17.38504,16.96466,110.65509,142.2429,296.87573,28.40828,80.0174,9.064632,48.64132,7.2090955,29.667519,"MDS"
"GSM483379",38.516174,40.162647,36.21774,766.81116,1418.2219,10.075159,124.88616,11.060423,22.177002,18.895662,145.91226,115.85599,14.241087,89.12372,143.70053,35.52646,116.24479,11.196725,9.625995,703.4786,36.563843,800.8302,19.002821,4699.9,780.07306,524.538,43.14125,36.537533,191.4145,2330.8633,17.699419,54.789917,89.09491,29.616253,29.716719,64.68476,31.433376,77.98837,25.725231,32.388573,27.96205,94.27216,156.53616,225.61983,29.150534,26.170141,11.50833,40.1207,6.411231,20.7562,"MDS"
"GSM483380",33.237232,44.730118,26.24188,915.43933,1614.6003,8.894007,53.017563,11.350228,19.104416,15.283215,180.50514,63.307396,18.23399,15.309933,107.14815,28.397024,67.42078,8.74359,7.374576,357.2506,45.543076,759.7996,18.90519,33.52102,707.9518,128.5399,27.271168,24.265184,110.52757,1617.8048,14.318248,50.7534,79.51742,28.275555,26.795954,14.8159275,10.382257,21.89994,28.039223,12.675681,20.390469,85.63959,152.21541,220.5969,33.91208,48.226025,10.033145,43.930088,7.005313,19.434824,"MDS"
"GSM483381",37.81228,55.879585,200.28107,1036.209,1027.6589,8.382125,151.27786,11.474381,23.013659,27.746828,96.909744,122.87138,13.396578,73.69995,89.54527,32.586346,138.0281,8.89994,12.733347,591.51843,56.717136,646.7144,27.409044,8306.159,669,272.2381,38.344505,26.794025,185.27477,2418.45,15.522624,30.14246,54.19838,35.545654,27.810873,191.78023,68.34262,93.91623,21.582745,33.271942,27.718351,86.95143,166.67995,224.54955,28.29186,149.07874,17.97475,42.342163,7.565078,21.754475,"MDS"
"GSM483382",32.808968,60.798546,23.516493,819.7736,2075.8826,14.020925,87.21024,12.173569,18.008448,22.752354,180.21936,80.39009,12.924441,23.737783,182.00009,39.10756,120.523796,15.8241205,9.647514,885.30994,63.351875,361.75748,19.350994,3093.8552,325.2979,229.09229,35.71506,30.991514,128.82732,2017.2767,29.703869,39.347706,68.63127,37.988384,25.905643,41.180847,16.226759,79.451584,40.087452,19.707668,54.729103,83.63349,203.56905,228.4989,35.401268,105.201355,13.524839,52.499657,7.1591477,27.055897,"MDS"
"GSM483383",36.37992,38.516163,52.683388,524.33044,1492.6561,9.003449,67.694534,8.274421,17.717604,17.063646,168.7098,35.89438,16.595343,13.54092,147.15782,25.236004,52.63224,7.8538766,8.310869,490.75653,140.57721,330.3639,24.805183,84.65202,313.72,172.02983,42.426136,26.247568,118.170006,2090.8943,29.8632,16.41774,32.503128,42.194466,31.325987,20.31019,9.674491,23.309866,44.31313,21.27476,32.276165,64.95564,176.62012,198.37123,30.028797,62.842686,10.671388,47.416428,7.7284203,16.411343,"MDS"
"GSM483384",30.53714,26.02725,51.744835,333.14856,479.41583,11.0871525,22.635857,8.050379,12.495251,26.615091,48.203472,36.934536,16.112593,25.63826,162.2136,14.949952,32.60163,10.156054,8.897052,995.1985,112.82868,1069.3333,31.181868,1058.2386,1087.6903,219.82732,25.786467,59.11403,140.8002,807.31866,21.883781,57.48931,149.00377,44.532356,32.084324,74.23553,12.876804,19.907455,13.1586275,36.521736,40.940483,55.78704,57.3231,127.62172,34.590683,21.902296,10.571144,25.431295,8.375183,13.138734,"MDS"
